id	species	type
R4155	Brassica.napus	Winter
R4156	Brassica.napus	Winter
R4157	Brassica.napus	Winter
R4158	Brassica.napus	Winter
R4159	Brassica.napus	Winter
R4160	Brassica.napus	Winter
R4161	Brassica.napus	Winter
R4162	Brassica.napus	Winter
R4163	Brassica.napus	Winter
R4164	Brassica.napus	Winter
R4165	Brassica.napus	Winter
R4166	Brassica.napus	Winter
R4167	Brassica.napus	Winter
R4168	Brassica.napus	Spring
R4169	Brassica.napus	Winter
R4170	Brassica.napus	Winter
R4171	Brassica.napus	Winter
R4172	Brassica.napus	Winter
R4173	Brassica.napus	Winter
R4174	Brassica.napus	Winter
R4175	Brassica.napus	Winter
R4176	Brassica.napus	Winter
R4177	Brassica.napus	Winter
R4178	Brassica.napus	Winter
R4179	Brassica.napus	Winter
R4180	Brassica.napus	Winter
R4181	Brassica.napus	Winter
R4182	Brassica.napus	Winter
R4183	Brassica.napus	Winter
R4184	Brassica.napus	Winter
R4185	Brassica.napus	Winter
R4186	Brassica.napus	Winter
R4187	Brassica.napus	Winter
R4188	Brassica.napus	Winter
R4189	Brassica.napus	Winter
R4190	Brassica.napus	Spring
R4191	Brassica.napus	Winter
R4192	Brassica.napus	Winter
R4193	Brassica.napus	Winter
R4194	Brassica.napus	Winter
R4195	Brassica.napus	Winter
R4196	Brassica.napus	Winter
R4197	Brassica.napus	Winter
R4198	Brassica.napus	Winter
R4199	Brassica.napus	Winter
R4200	Brassica.napus	Winter
R4201	Brassica.napus	Winter
R4202	Brassica.napus	Winter
R4203	Brassica.napus	Winter
R4204	Brassica.napus	Winter
R4205	Brassica.napus	Spring
R4206	Brassica.napus	Winter
R4207	Brassica.napus	Winter
R4208	Brassica.napus	Winter
R4209	Brassica.napus	Winter
R4210	Brassica.napus	Spring
R4211	Brassica.napus	Winter
R4212	Brassica.napus	Winter
R4213	Brassica.napus	Winter
R4214	Brassica.napus	Winter
R4215	Brassica.napus	Winter
R4216	Brassica.napus	Spring
R4217	Brassica.napus	Winter
R4218	Brassica.napus	Winter
R4219	Brassica.napus	Spring
R4220	Brassica.napus	Winter
R4221	Brassica.napus	Spring
R4222	Brassica.napus	Winter
R4223	Brassica.napus	Spring
R4224	Brassica.napus	Spring
R4225	Brassica.napus	Spring
R4226	Brassica.napus	Spring
R4227	Brassica.napus	Spring
R4228	Brassica.napus	Spring
R4229	Brassica.napus	Spring
R4230	Brassica.napus	Spring
R4231	Brassica.napus	Winter
R4232	Brassica.napus	Spring
R4233	Brassica.napus	Winter
R4234	Brassica.napus	Winter
R4235	Brassica.napus	Spring
R4236	Brassica.napus	Spring
R4237	Brassica.napus	Spring
R4238	Brassica.napus	Spring
R4239	Brassica.napus	Spring
R4240	Brassica.napus	Spring
R4241	Brassica.napus	Spring
R4242	Brassica.napus	Spring
R4243	Brassica.napus	Spring
R4244	Brassica.napus	Spring
R4245	Brassica.napus	Winter
R4246	Brassica.napus	Spring
R4247	Brassica.napus	Spring
R4248	Brassica.napus	Spring
R4249	Brassica.napus	Spring
R4250	Brassica.napus	Spring
R4251	Brassica.napus	Spring
R4252	Brassica.napus	Spring
R4253	Brassica.napus	Spring
R4254	Brassica.napus	Spring
R4255	Brassica.napus	Spring
R4256	Brassica.napus	Spring
R4257	Brassica.napus	Spring
R4258	Brassica.napus	Spring
R4259	Brassica.napus	Winter
R4260	Brassica.napus	Spring
R4261	Brassica.napus	Winter
R4262	Brassica.napus	Winter
R4263	Brassica.napus	Winter
R4264	Brassica.napus	Spring
R4265	Brassica.napus	Spring
R4266	Brassica.napus	Spring
R4267	Brassica.napus	Winter
R4268	Brassica.napus	Winter
R4269	Brassica.napus	Spring
R4270	Brassica.napus	Spring
R4271	Brassica.napus	Winter
R4272	Brassica.napus	Winter
R4273	Brassica.napus	Spring
R4274	Brassica.napus	Spring
R4275	Brassica.napus	Winter
R4276	Brassica.napus	Winter
R4277	Brassica.napus	Winter
R4278	Brassica.napus	Winter
R4279	Brassica.napus	Winter
R4280	Brassica.napus	Winter
R4281	Brassica.napus	Spring
R4282	Brassica.napus	Spring
R4283	Brassica.napus	Winter
R4284	Brassica.napus	Winter
R4285	Brassica.napus	Winter
R4286	Brassica.napus	Winter
R4287	Brassica.napus	Winter
R4288	Brassica.napus	Spring
R4289	Brassica.napus	Winter
R4290	Brassica.napus	Winter
R4291	Brassica.napus	Winter
R4292	Brassica.napus	Winter
R4293	Brassica.napus	Winter
R4294	Brassica.napus	Winter
R4295	Brassica.napus	Winter
R4296	Brassica.napus	Winter
R4297	Brassica.napus	Winter
R4298	Brassica.napus	Winter
R4299	Brassica.napus	Winter
R4300	Brassica.napus	Winter
R4301	Brassica.napus	Winter
R4302	Brassica.napus	Spring
R4303	Brassica.napus	Winter
R4304	Brassica.napus	Spring
R4305	Brassica.napus	Winter
R4306	Brassica.napus	Winter
R4307	Brassica.napus	Winter
R4308	Brassica.napus	Winter
R4309	Brassica.napus	Winter
R4310	Brassica.napus	Winter
R4311	Brassica.napus	Spring
R4312	Brassica.napus	Spring
R4313	Brassica.napus	Winter
R4314	Brassica.napus	Winter
R4315	Brassica.napus	Winter
R4316	Brassica.napus	Spring
R4317	Brassica.napus	Winter
R4318	Brassica.napus	Winter
R4319	Brassica.napus	Winter
R4320	Brassica.napus	Winter
