id	type
R4155	Winter
R4156	Winter
R4157	Winter
R4158	Winter
R4159	Winter
R4160	Winter
R4161	Winter
R4162	Winter
R4163	Winter
R4164	Winter
R4165	Winter
R4166	Winter
R4167	Winter
R4168	Spring
R4169	Winter
R4170	Winter
R4171	Winter
R4172	Winter
R4173	Winter
R4174	Winter
R4175	Winter
R4176	Winter
R4177	Winter
R4178	Winter
R4179	Winter
R4180	Winter
R4181	Winter
R4182	Winter
R4183	Winter
R4184	Winter
R4185	Winter
R4186	Winter
R4187	Winter
R4188	Winter
R4189	Winter
R4190	Spring
R4191	Winter
R4192	Winter
R4193	Winter
R4194	Winter
R4195	Winter
R4196	Winter
R4197	Winter
R4198	Winter
R4199	Winter
R4200	Winter
R4201	Winter
R4202	Winter
R4203	Winter
R4204	Winter
R4205	Spring
R4206	Winter
R4207	Winter
R4208	Winter
R4209	Winter
R4210	Spring
R4211	Winter
R4212	Winter
R4213	Winter
R4214	Winter
R4215	Winter
R4216	Spring
R4217	Winter
R4218	Winter
R4219	Spring
R4220	Winter
R4221	Spring
R4222	Winter
R4223	Spring
R4224	Spring
R4225	Spring
R4226	Spring
R4227	Spring
R4228	Spring
R4229	Spring
R4230	Spring
R4231	Winter
R4232	Spring
R4233	Winter
R4234	Winter
R4235	Spring
R4236	Spring
R4237	Spring
R4238	Spring
R4239	Spring
R4240	Spring
R4241	Spring
R4242	Spring
R4243	Spring
R4244	Spring
R4245	Winter
R4246	Spring
R4247	Spring
R4248	Spring
R4249	Spring
R4250	Spring
R4251	Spring
R4252	Spring
R4253	Spring
R4254	Spring
R4255	Spring
R4256	Spring
R4257	Spring
R4258	Spring
R4259	Winter
R4260	Spring
R4261	Winter
R4262	Winter
R4263	Winter
R4264	Spring
R4265	Spring
R4266	Spring
R4267	Winter
R4268	Winter
R4269	Spring
R4270	Spring
R4271	Winter
R4272	Winter
R4273	Spring
R4274	Spring
R4275	Winter
R4276	Winter
R4277	Winter
R4278	Winter
R4279	Winter
R4280	Winter
R4281	Spring
R4282	Spring
R4283	Winter
R4284	Winter
R4285	Winter
R4286	Winter
R4287	Winter
R4288	Spring
R4289	Winter
R4290	Winter
R4291	Winter
R4292	Winter
R4293	Winter
R4294	Winter
R4295	Winter
R4296	Winter
R4297	Winter
R4298	Winter
R4299	Winter
R4300	Winter
R4301	Winter
R4302	Spring
R4303	Winter
R4304	Spring
R4305	Winter
R4306	Winter
R4307	Winter
R4308	Winter
R4309	Winter
R4310	Winter
R4311	Spring
R4312	Spring
R4313	Winter
R4314	Winter
R4315	Winter
R4316	Spring
R4317	Winter
R4318	Winter
R4319	Winter
R4320	Winter
R4321	Winter
R4322	Winter
R4323	Winter
R4324	Winter
R4325	Winter
R4326	Spring
R4327	Spring
R4328	Winter
R4329	Winter
R4330	Winter
R4331	Winter
R4332	Winter
R4333	Winter
R4334	Winter
R4335	Winter
R4336	Winter
R4337	Winter
R4338	Spring
R4339	Spring
R4340	Winter
R4341	Winter
R4342	Winter
R4343	Winter
R4344	Winter
R4345	Winter
R4346	Winter
R4347	Winter
R4348	Winter
R4349	Winter
R4350	Winter
R4351	Winter
R4352	Winter
R4353	Spring
R4354	Winter
R4355	Winter
R4356	Winter
R4357	Winter
R4358	Winter
R4359	Winter
R4360	Winter
R4361	Winter
R4362	Winter
R4363	Spring
R4364	Spring
R4365	Spring
R4366	Winter
R4367	Winter
R4368	Winter
R4369	Winter
R4370	Winter
R4371	Winter
R4372	Winter
R4373	Winter
R4374	Winter
R4375	Winter
R4376	Winter
R4377	Winter
R4378	Winter
R4379	Winter
R4380	Winter
R4381	Winter
R4382	Winter
R4383	Winter
R4384	Winter
R4385	Winter
R4386	Winter
R4387	Spring
R4388	Winter
R4389	Winter
R4390	Winter
R4391	Spring
R4392	Winter
R4393	Winter
R4394	Spring
R4395	Spring
R4396	Winter
R4397	Winter
R4398	Winter
R4399	Winter
R4400	Winter
R4401	Winter
R4402	Winter
R4403	Winter
R4404	Winter
R4405	Spring
R4406	Winter
R4407	Winter
R4408	Spring
R4409	Spring
R4410	Winter
R4411	Winter
R4412	Winter
R4413	Spring
R4414	Winter
R4415	Winter
R4416	Winter
R4417	Winter
R4418	Winter
R4419	Winter
R4420	Winter
R4421	Spring
R4422	Spring
R4423	Winter
R4424	Winter
R4425	Spring
R4426	Spring
R4427	Winter
R4428	Winter
R4429	Winter
R4430	Spring
R4431	Winter
R4432	Winter
R4433	Winter
R4434	Spring
R4435	Spring
R4436	Winter
R4437	Winter
R4438	Winter
R4439	Winter
R4440	Spring
R4441	Winter
R4442	Winter
R4443	Winter
R4444	Winter
R4445	Winter
R4446	Spring
R4447	Winter
R4448	Spring
R4449	Winter
R4450	Winter
R4451	Winter
R4452	Winter
R4453	Winter
R4454	Winter
R4455	Spring
R4456	Spring
R4457	Winter
R4458	Winter
R4459	Winter
R4460	Winter
R4461	Winter
R4462	Winter
R4463	Winter
R4464	Winter
R4465	Winter
R4466	Winter
R4467	Winter
R4468	Winter
R4469	Winter
R4470	Winter
R4471	Winter
R4472	Winter
R4473	Winter
R4474	Winter
R4475	Winter
R4476	Winter
R4477	Winter
R4478	Spring
R4479	Winter
R4480	Winter
R4481	Winter
R4482	Winter
R4483	Winter
R4484	Winter
R4485	Winter
R4486	Winter
R4487	Winter
R4488	Winter
R4489	Winter
R4490	Winter
R4491	Spring
R4492	Winter
R4493	Winter
R4494	Winter
R4495	Winter
R4496	Spring
R4497	Winter
R4498	Spring
R4499	Winter
R4500	Winter
R4501	Winter
R4502	Winter
R4503	Winter
R4504	Winter
R4505	Winter
R4506	Winter
R4507	Winter
R4508	Spring
R4509	Spring
R4510	Winter
R4511	Winter
R4512	Winter
R4513	Spring
R4514	Winter
R4515	Winter
R4516	Spring
R4517	Winter
R4518	Winter
R4519	Winter
R4520	Winter
R4521	Spring
R4522	Spring
R4523	Winter
R4524	Winter
R4525	Winter
R4526	Winter
R4527	Winter
R4528	Winter
R4529	Winter
R4530	Winter
R4531	Winter
R4532	Winter
R4533	Winter
R4534	Winter
R4535	Winter
R4536	Spring
R4537	Winter
R4538	Winter
R4539	Winter
R4540	Winter
R4541	Winter
R4542	Winter
R4543	Winter
R4544	Winter
R4545	Winter
R4546	Winter
R4547	Winter
R4548	Winter
R4549	Winter
R4550	Winter
R4551	Winter
R4552	Spring
R4553	Winter
R4554	Spring
R4555	Winter
R4556	Winter
R4557	Winter
R4558	Winter
R4559	Winter
R4560	Winter
R4561	Winter
R4562	Winter
R4563	Spring
R4564	Winter
R4565	Winter
R4566	Winter
