Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4155,Op 02,Czechoslovakia,Brassica napus L.,50.0878368,14.4241323,Winter,184
R4156,Sl 33,Czechoslovakia,Brassica napus L.,49.1952227,16.6079597,Winter,181
R4157,Sl 502,Czechoslovakia,Brassica napus L.,49.8346452,18.2820435,Winter,181
R4158,Sl 509,Czechoslovakia,Brassica napus L.,49.7474748,13.3775873,Winter,182
R4159,C - B1,Czechoslovakia,Brassica napus L.,49.5955243,17.2517529,Winter,170
R4160,Op 2/2,Czechoslovakia,Brassica napus L.,50.7671119,15.0561914,Winter,179
R4161,"Sl 30, Solida",Czechoslovakia,Brassica napus L.,48.9744684,14.4743404,Winter,182
R4162,Sl 41,Czechoslovakia,Brassica napus L.,50.2092284,15.8327684,Winter,180
R4163,"Op 08, Sonata",Czechoslovakia,Brassica napus L.,50.6607038,14.0322723,Winter,182
R4164,C - N3,Czechoslovakia,Brassica napus L.,50.0407508,15.7765903,Winter,180
R4165,Mira,Czechoslovakia,Brassica napus L.,49.7798448,18.4368801,Winter,180
R4166,Op 023,Czechoslovakia,Brassica napus L.,49.2166667,17.666666,Winter,179
R4167,Ruska XIX /19,Czechoslovakia,Brassica napus L.,50.1473356,14.1028509,Winter,176
R4168,Valecovska,Czechoslovakia,Brassica napus L.,50.5030069,13.6361742,Spring,153
R4169,Slg 5,Czechoslovakia,Brassica napus L.,49.8540031,18.5416889,Winter,184
R4170,Silesia,Czechoslovakia,Brassica napus L.,49.6853662,18.3483772,Winter,182
R4171,Sl G 2,Czechoslovakia,Brassica napus L.,49.9386635,17.9025707,Winter,182
R4172,Slne 1,Czechoslovakia,Brassica napus L.,49.6833333,18.3500004,Winter,181
R4173,Sl 37,Czechoslovakia,Brassica napus L.,50.7821525,14.2147818,Winter,182
R4174,Op 09,Czechoslovakia,Brassica napus L.,50.2327126,12.87117,Winter,183
R4175,Slapska,Czechoslovakia,Brassica napus L.,50.6403975,13.8245077,Winter,152
R4176,Sl 17,Czechoslovakia,Brassica napus L.,50.4604754,13.4177856,Winter,183
R4177,Sl 25,Czechoslovakia,Brassica napus L.,49.3961001,15.5912447,Winter,184
R4178,Sl 506,Czechoslovakia,Brassica napus L.,49.4718784,17.1118393,Winter,185
