file	chr	start	end
./data/SNP_data/A01-1-4084370.snp.RData	A01	1	4084370
./data/SNP_data/A01-14733112-19751594.snp.RData	A01	14733112	19751594
./data/SNP_data/A01-19751595-23267513.snp.RData	A01	19751595	23267513
./data/SNP_data/A01-4084371-9201974.snp.RData	A01	4084371	9201974
./data/SNP_data/A01-9201975-14733111.snp.RData	A01	9201975	14733111
./data/SNP_data/A02-1-4183692.snp.RData	A02	1	4183692
./data/SNP_data/A02-12938498-18082179.snp.RData	A02	12938498	18082179
./data/SNP_data/A02-18082180-23746195.snp.RData	A02	18082180	23746195
./data/SNP_data/A02-23746196-24793542.snp.RData	A02	23746196	24793542
./data/SNP_data/A02-4183693-8003944.snp.RData	A02	4183693	8003944
./data/SNP_data/A02-8003945-12938497.snp.RData	A02	8003945	12938497
./data/SNP_data/A03-1-4324316.snp.RData	A03	1	4324316
./data/SNP_data/A03-12929906-17861049.snp.RData	A03	12929906	17861049
./data/SNP_data/A03-17861050-22434614.snp.RData	A03	17861050	22434614
./data/SNP_data/A03-22434615-26847420.snp.RData	A03	22434615	26847420
./data/SNP_data/A03-26847421-29767301.snp.RData	A03	26847421	29767301
./data/SNP_data/A03-4324317-8457075.snp.RData	A03	4324317	8457075
./data/SNP_data/A03-8457076-12929905.snp.RData	A03	8457076	12929905
./data/SNP_data/A04-1-4604262.snp.RData	A04	1	4604262
./data/SNP_data/A04-11847831-16328194.snp.RData	A04	11847831	16328194
./data/SNP_data/A04-16328195-19150462.snp.RData	A04	16328195	19150462
./data/SNP_data/A04-4604263-7807244.snp.RData	A04	4604263	7807244
./data/SNP_data/A04-7807245-11847830.snp.RData	A04	7807245	11847830
./data/SNP_data/A05-1-4592883.snp.RData	A05	1	4592883
./data/SNP_data/A05-13503194-18510156.snp.RData	A05	13503194	18510156
./data/SNP_data/A05-18510157-23067335.snp.RData	A05	18510157	23067335
./data/SNP_data/A05-4592884-9630300.snp.RData	A05	4592884	9630300
./data/SNP_data/A05-9630301-13503193.snp.RData	A05	9630301	13503193
./data/SNP_data/A06-1-5262457.snp.RData	A06	1	5262457
./data/SNP_data/A06-11163444-16324152.snp.RData	A06	11163444	16324152
./data/SNP_data/A06-16324153-21066953.snp.RData	A06	16324153	21066953
./data/SNP_data/A06-21066954-24394496.snp.RData	A06	21066954	24394496
./data/SNP_data/A06-5262458-11163443.snp.RData	A06	5262458	11163443
./data/SNP_data/A07-1-5571310.snp.RData	A07	1	5571310
./data/SNP_data/A07-10121492-14659595.snp.RData	A07	10121492	14659595
./data/SNP_data/A07-14659596-19321089.snp.RData	A07	14659596	19321089
./data/SNP_data/A07-19321090-24006333.snp.RData	A07	19321090	24006333
./data/SNP_data/A07-5571311-10121491.snp.RData	A07	5571311	10121491
./data/SNP_data/A08-1-6138934.snp.RData	A08	1	6138934
./data/SNP_data/A08-11797818-17257292.snp.RData	A08	11797818	17257292
./data/SNP_data/A08-17257293-18961290.snp.RData	A08	17257293	18961290
./data/SNP_data/A08-6138935-11797817.snp.RData	A08	6138935	11797817
./data/SNP_data/A09-1-4338595.snp.RData	A09	1	4338595
./data/SNP_data/A09-15157332-21915882.snp.RData	A09	15157332	21915882
./data/SNP_data/A09-21915883-28270896.snp.RData	A09	21915883	28270896
./data/SNP_data/A09-28270897-33864945.snp.RData	A09	28270897	33864945
./data/SNP_data/A09-4338596-9863809.snp.RData	A09	4338596	9863809
./data/SNP_data/A09-9863810-15157331.snp.RData	A09	9863810	15157331
./data/SNP_data/A10-1-4610626.snp.RData	A10	1	4610626
./data/SNP_data/A10-13832787-17397690.snp.RData	A10	13832787	17397690
./data/SNP_data/A10-4610627-9434356.snp.RData	A10	4610627	9434356
./data/SNP_data/A10-9434357-13832786.snp.RData	A10	9434357	13832786
./data/SNP_data/Ann-1-11319504.snp.RData	Ann	1	11319504
./data/SNP_data/Ann-11319505-24291096.snp.RData	Ann	11319505	24291096
./data/SNP_data/Ann-24291097-37826640.snp.RData	Ann	24291097	37826640
./data/SNP_data/Ann-37826641-48658116.snp.RData	Ann	37826641	48658116
./data/SNP_data/C01-1-4964194.snp.RData	C01	1	4964194
./data/SNP_data/C01-10571150-16485588.snp.RData	C01	10571150	16485588
./data/SNP_data/C01-16485589-19617553.snp.RData	C01	16485589	19617553
./data/SNP_data/C01-19617554-22854217.snp.RData	C01	19617554	22854217
./data/SNP_data/C01-22854218-27005628.snp.RData	C01	22854218	27005628
./data/SNP_data/C01-27005629-31472665.snp.RData	C01	27005629	31472665
./data/SNP_data/C01-31472666-37541170.snp.RData	C01	31472666	37541170
./data/SNP_data/C01-37541171-38829192.snp.RData	C01	37541171	38829192
./data/SNP_data/C01-4964195-10571149.snp.RData	C01	4964195	10571149
./data/SNP_data/C02-1-5147310.snp.RData	C02	1	5147310
./data/SNP_data/C02-10220161-17083878.snp.RData	C02	10220161	17083878
./data/SNP_data/C02-17083879-23980101.snp.RData	C02	17083879	23980101
./data/SNP_data/C02-23980102-28857231.snp.RData	C02	23980102	28857231
./data/SNP_data/C02-28857232-34193113.snp.RData	C02	28857232	34193113
./data/SNP_data/C02-34193114-38549207.snp.RData	C02	34193114	38549207
./data/SNP_data/C02-38549208-43734732.snp.RData	C02	38549208	43734732
./data/SNP_data/C02-43734733-46221586.snp.RData	C02	43734733	46221586
./data/SNP_data/C02-5147311-10220160.snp.RData	C02	5147311	10220160
./data/SNP_data/C03-1-4633216.snp.RData	C03	1	4633216
./data/SNP_data/C03-13555961-18078762.snp.RData	C03	13555961	18078762
./data/SNP_data/C03-18078763-23360047.snp.RData	C03	18078763	23360047
./data/SNP_data/C03-23360048-28903264.snp.RData	C03	23360048	28903264
./data/SNP_data/C03-28903265-35493770.snp.RData	C03	28903265	35493770
./data/SNP_data/C03-35493771-47898210.snp.RData	C03	35493771	47898210
./data/SNP_data/C03-4633217-9107723.snp.RData	C03	4633217	9107723
./data/SNP_data/C03-47898211-52188487.snp.RData	C03	47898211	52188487
./data/SNP_data/C03-52188488-57675635.snp.RData	C03	52188488	57675635
./data/SNP_data/C03-57675636-60569721.snp.RData	C03	57675636	60569721
./data/SNP_data/C03-9107724-13555960.snp.RData	C03	9107724	13555960
./data/SNP_data/C04-1-4870210.snp.RData	C04	1	4870210
./data/SNP_data/C04-11254202-15876605.snp.RData	C04	11254202	15876605
./data/SNP_data/C04-15876606-18901594.snp.RData	C04	15876606	18901594
./data/SNP_data/C04-18901595-23295071.snp.RData	C04	18901595	23295071
./data/SNP_data/C04-23295072-31096371.snp.RData	C04	23295072	31096371
./data/SNP_data/C04-31096372-36545005.snp.RData	C04	31096372	36545005
./data/SNP_data/C04-36545006-43881025.snp.RData	C04	36545006	43881025
./data/SNP_data/C04-43881026-48930022.snp.RData	C04	43881026	48930022
./data/SNP_data/C04-4870211-11254201.snp.RData	C04	4870211	11254201
./data/SNP_data/C05-1-6241411.snp.RData	C05	1	6241411
./data/SNP_data/C05-12132325-21793873.snp.RData	C05	12132325	21793873
./data/SNP_data/C05-21793874-30980314.snp.RData	C05	21793874	30980314
./data/SNP_data/C05-30980315-41000015.snp.RData	C05	30980315	41000015
./data/SNP_data/C05-41000016-43184567.snp.RData	C05	41000016	43184567
./data/SNP_data/C05-6241412-12132324.snp.RData	C05	6241412	12132324
./data/SNP_data/C06-1-5120722.snp.RData	C06	1	5120722
./data/SNP_data/C06-11818627-18049505.snp.RData	C06	11818627	18049505
./data/SNP_data/C06-18049506-25273336.snp.RData	C06	18049506	25273336
./data/SNP_data/C06-25273337-30924915.snp.RData	C06	25273337	30924915
./data/SNP_data/C06-30924916-35843489.snp.RData	C06	30924916	35843489
./data/SNP_data/C06-35843490-37225522.snp.RData	C06	35843490	37225522
./data/SNP_data/C06-5120723-11818626.snp.RData	C06	5120723	11818626
./data/SNP_data/C07-1-7309553.snp.RData	C07	1	7309553
./data/SNP_data/C07-11055866-19586314.snp.RData	C07	11055866	19586314
./data/SNP_data/C07-19586315-27967642.snp.RData	C07	19586315	27967642
./data/SNP_data/C07-27967643-33337565.snp.RData	C07	27967643	33337565
./data/SNP_data/C07-33337566-38469552.snp.RData	C07	33337566	38469552
./data/SNP_data/C07-38469553-42604606.snp.RData	C07	38469553	42604606
./data/SNP_data/C07-42604607-44769047.snp.RData	C07	42604607	44769047
./data/SNP_data/C07-7309554-11055865.snp.RData	C07	7309554	11055865
./data/SNP_data/C08-1-5387738.snp.RData	C08	1	5387738
./data/SNP_data/C08-12734666-23272011.snp.RData	C08	12734666	23272011
./data/SNP_data/C08-23272012-28782455.snp.RData	C08	23272012	28782455
./data/SNP_data/C08-28782456-33569719.snp.RData	C08	28782456	33569719
./data/SNP_data/C08-33569720-38021607.snp.RData	C08	33569720	38021607
./data/SNP_data/C08-38021608-38476787.snp.RData	C08	38021608	38476787
