file	chr	start	end
./data/Allele_data/A01-1-4084370.allele.RData	A01	1	4084370
./data/Allele_data/A01-14733112-19751594.allele.Rdata	A01	14733112	19751594
./data/Allele_data/A01-19751595-23267513.allele.RData	A01	19751595	23267513
./data/Allele_data/A01-4084371-9201974.allele.RData	A01	4084371	9201974
./data/Allele_data/A01-9201975-14733111.allele.RData	A01	9201975	14733111
./data/Allele_data/A02-1-4183692.allele.RData	A02	1	4183692
./data/Allele_data/A02-12938498-18082179.allele.RData	A02	12938498	18082179
./data/Allele_data/A02-18082180-23746195.allele.RData	A02	18082180	23746195
./data/Allele_data/A02-23746196-24793542.allele.RData	A02	23746196	24793542
./data/Allele_data/A02-4183693-8003944.allele.RData	A02	4183693	8003944
./data/Allele_data/A02-8003945-12938497.allele.RData	A02	8003945	12938497
./data/Allele_data/A03-1-4324316.allele.RData	A03	1	4324316
./data/Allele_data/A03-12929906-17861049.allele.RData	A03	12929906	17861049
./data/Allele_data/A03-17861050-22434614.allele.RData	A03	17861050	22434614
./data/Allele_data/A03-22434615-26847420.allele.RData	A03	22434615	26847420
./data/Allele_data/A03-26847421-29767301.allele.RData	A03	26847421	29767301
./data/Allele_data/A03-4324317-8457075.allele.RData	A03	4324317	8457075
./data/Allele_data/A03-8457076-12929905.allele.RData	A03	8457076	12929905
./data/Allele_data/A04-1-4604262.allele.RData	A04	1	4604262
./data/Allele_data/A04-11847831-16328194.allele.RData	A04	11847831	16328194
./data/Allele_data/A04-16328195-19150462.allele.RData	A04	16328195	19150462
./data/Allele_data/A04-4604263-7807244.allele.RData	A04	4604263	7807244
./data/Allele_data/A04-7807245-11847830.allele.RData	A04	7807245	11847830
./data/Allele_data/A05-1-4592883.allele.RData	A05	1	4592883
./data/Allele_data/A05-13503194-18510156.allele.RData	A05	13503194	18510156
./data/Allele_data/A05-18510157-23067335.allele.RData	A05	18510157	23067335
./data/Allele_data/A05-4592884-9630300.allele.RData	A05	4592884	9630300
./data/Allele_data/A05-9630301-13503193.allele.RData	A05	9630301	13503193
./data/Allele_data/A06-1-5262457.allele.RData	A06	1	5262457
./data/Allele_data/A06-11163444-16324152.allele.RData	A06	11163444	16324152
./data/Allele_data/A06-16324153-21066953.allele.RData	A06	16324153	21066953
./data/Allele_data/A06-21066954-24394496.allele.RData	A06	21066954	24394496
./data/Allele_data/A06-5262458-11163443.allele.RData	A06	5262458	11163443
./data/Allele_data/A07-1-5571310.allele.RData	A07	1	5571310
./data/Allele_data/A07-10121492-14659595.allele.RData	A07	10121492	14659595
./data/Allele_data/A07-14659596-19321089.allele.RData	A07	14659596	19321089
./data/Allele_data/A07-19321090-24006333.allele.RData	A07	19321090	24006333
./data/Allele_data/A07-5571311-10121491.allele.RData	A07	5571311	10121491
./data/Allele_data/A08-1-6138934.allele.RData	A08	1	6138934
./data/Allele_data/A08-11797818-17257292.allele.RData	A08	11797818	17257292
./data/Allele_data/A08-17257293-18961290.allele.RData	A08	17257293	18961290
./data/Allele_data/A08-6138935-11797817.allele.RData	A08	6138935	11797817
./data/Allele_data/A09-1-4338595.allele.RData	A09	1	4338595
./data/Allele_data/A09-15157332-21915882.allele.RData	A09	15157332	21915882
./data/Allele_data/A09-21915883-28270896.allele.RData	A09	21915883	28270896
./data/Allele_data/A09-28270897-33864945.allele.RData	A09	28270897	33864945
./data/Allele_data/A09-4338596-9863809.allele.RData	A09	4338596	9863809
./data/Allele_data/A09-9863810-15157331.allele.RData	A09	9863810	15157331
./data/Allele_data/A10-1-4610626.allele.RData	A10	1	4610626
./data/Allele_data/A10-13832787-17397690.allele.RData	A10	13832787	17397690
./data/Allele_data/A10-4610627-9434356.allele.RData	A10	4610627	9434356
./data/Allele_data/A10-9434357-13832786.allele.RData	A10	9434357	13832786
./data/Allele_data/Ann-1-11319504.allele.RData	Ann	1	11319504
./data/Allele_data/Ann-11319505-24291096.allele.RData	Ann	11319505	24291096
./data/Allele_data/Ann-24291097-37826640.allele.RData	Ann	24291097	37826640
./data/Allele_data/Ann-37826641-48658116.allele.RData	Ann	37826641	48658116
./data/Allele_data/C01-1-4964194.allele.RData	C01	1	4964194
./data/Allele_data/C01-10571150-16485588.allele.RData	C01	10571150	16485588
./data/Allele_data/C01-16485589-19617553.allele.RData	C01	16485589	19617553
./data/Allele_data/C01-19617554-22854217.allele.RData	C01	19617554	22854217
./data/Allele_data/C01-22854218-27005628.allele.RData	C01	22854218	27005628
./data/Allele_data/C01-27005629-31472665.allele.RData	C01	27005629	31472665
./data/Allele_data/C01-31472666-37541170.allele.RData	C01	31472666	37541170
./data/Allele_data/C01-37541171-38829192.allele.RData	C01	37541171	38829192
./data/Allele_data/C01-4964195-10571149.allele.RData	C01	4964195	10571149
./data/Allele_data/C02-1-5147310.allele.RData	C02	1	5147310
./data/Allele_data/C02-10220161-17083878.allele.RData	C02	10220161	17083878
./data/Allele_data/C02-17083879-23980101.allele.RData	C02	17083879	23980101
./data/Allele_data/C02-23980102-28857231.allele.RData	C02	23980102	28857231
./data/Allele_data/C02-28857232-34193113.allele.RData	C02	28857232	34193113
./data/Allele_data/C02-34193114-38549207.allele.RData	C02	34193114	38549207
./data/Allele_data/C02-38549208-43734732.allele.RData	C02	38549208	43734732
./data/Allele_data/C02-43734733-46221586.allele.RData	C02	43734733	46221586
./data/Allele_data/C02-5147311-10220160.allele.RData	C02	5147311	10220160
./data/Allele_data/C03-1-4633216.allele.RData	C03	1	4633216
./data/Allele_data/C03-13555961-18078762.allele.RData	C03	13555961	18078762
./data/Allele_data/C03-18078763-23360047.allele.RData	C03	18078763	23360047
./data/Allele_data/C03-23360048-28903264.allele.RData	C03	23360048	28903264
./data/Allele_data/C03-28903265-35493770.allele.RData	C03	28903265	35493770
./data/Allele_data/C03-35493771-47898210.allele.RData	C03	35493771	47898210
./data/Allele_data/C03-4633217-9107723.allele.RData	C03	4633217	9107723
./data/Allele_data/C03-47898211-52188487.allele.RData	C03	47898211	52188487
./data/Allele_data/C03-52188488-57675635.allele.RData	C03	52188488	57675635
./data/Allele_data/C03-57675636-60569721.allele.RData	C03	57675636	60569721
./data/Allele_data/C03-9107724-13555960.allele.RData	C03	9107724	13555960
./data/Allele_data/C04-1-4870210.allele.RData	C04	1	4870210
./data/Allele_data/C04-11254202-15876605.allele.RData	C04	11254202	15876605
./data/Allele_data/C04-15876606-18901594.allele.RData	C04	15876606	18901594
./data/Allele_data/C04-18901595-23295071.allele.RData	C04	18901595	23295071
./data/Allele_data/C04-23295072-31096371.allele.RData	C04	23295072	31096371
./data/Allele_data/C04-31096372-36545005.allele.RData	C04	31096372	36545005
./data/Allele_data/C04-36545006-43881025.allele.RData	C04	36545006	43881025
./data/Allele_data/C04-43881026-48930022.allele.RData	C04	43881026	48930022
./data/Allele_data/C04-4870211-11254201.allele.RData	C04	4870211	11254201
./data/Allele_data/C05-1-6241411.allele.RData	C05	1	6241411
./data/Allele_data/C05-12132325-21793873.allele.RData	C05	12132325	21793873
./data/Allele_data/C05-21793874-30980314.allele.RData	C05	21793874	30980314
./data/Allele_data/C05-30980315-41000015.allele.RData	C05	30980315	41000015
./data/Allele_data/C05-41000016-43184567.allele.RData	C05	41000016	43184567
./data/Allele_data/C05-6241412-12132324.allele.RData	C05	6241412	12132324
./data/Allele_data/C06-1-5120722.allele.RData	C06	1	5120722
./data/Allele_data/C06-11818627-18049505.allele.RData	C06	11818627	18049505
./data/Allele_data/C06-18049506-25273336.allele.RData	C06	18049506	25273336
./data/Allele_data/C06-25273337-30924915.allele.RData	C06	25273337	30924915
./data/Allele_data/C06-30924916-35843489.allele.RData	C06	30924916	35843489
./data/Allele_data/C06-35843490-37225522.allele.RData	C06	35843490	37225522
./data/Allele_data/C06-5120723-11818626.allele.RData	C06	5120723	11818626
./data/Allele_data/C07-1-7309553.allele.RData	C07	1	7309553
./data/Allele_data/C07-11055866-19586314.allele.RData	C07	11055866	19586314
./data/Allele_data/C07-19586315-27967642.allele.RData	C07	19586315	27967642
./data/Allele_data/C07-27967643-33337565.allele.RData	C07	27967643	33337565
./data/Allele_data/C07-33337566-38469552.allele.RData	C07	33337566	38469552
./data/Allele_data/C07-38469553-42604606.allele.RData	C07	38469553	42604606
./data/Allele_data/C07-42604607-44769047.allele.RData	C07	42604607	44769047
./data/Allele_data/C07-7309554-11055865.allele.RData	C07	7309554	11055865
./data/Allele_data/C08-1-5387738.allele.RData	C08	1	5387738
./data/Allele_data/C08-12734666-23272011.allele.RData	C08	12734666	23272011
./data/Allele_data/C08-23272012-28782455.allele.RData	C08	23272012	28782455
./data/Allele_data/C08-28782456-33569719.allele.RData	C08	28782456	33569719
./data/Allele_data/C08-33569720-38021607.allele.RData	C08	33569720	38021607
./data/Allele_data/C08-38021608-38476787.allele.RData	C08	38021608	38476787
./data/Allele_data/C08-5387739-12734665.allele.RData	C08	5387739	12734665
./data/Allele_data/C09-1-5896241.allele.RData	C09	1	5896241
./data/Allele_data/C09-13385732-18355833.allele.RData	C09	13385732	18355833
./data/Allele_data/C09-18355834-32131680.allele.RData	C09	18355834	32131680
./data/Allele_data/C09-32131681-39724941.allele.RData	C09	32131681	39724941
./data/Allele_data/C09-39724942-47090165.allele.RData	C09	39724942	47090165
./data/Allele_data/C09-47090166-48508109.allele.RData	C09	47090166	48508109
./data/Allele_data/C09-5896242-13385731.allele.RData	C09	5896242	13385731
./data/Allele_data/Cnn-1-12571181.allele.RData	Cnn	1	12571181
./data/Allele_data/Cnn-12571182-26706955.allele.RData	Cnn	12571182	26706955
./data/Allele_data/Cnn-26706956-39357723.allele.RData	Cnn	26706956	39357723
./data/Allele_data/Cnn-39357724-52853758.allele.RData	Cnn	39357724	52853758
./data/Allele_data/Cnn-52853759-67294783.allele.RData	Cnn	52853759	67294783
./data/Allele_data/Cnn-67294784-80671274.allele.RData	Cnn	67294784	80671274
